userCount,delayMicros,oneStream (ms),parallelStreams (ms),customSpliterator (ms),expectedDelayMs,observedDelay_oneStream (ms),overhead_oneStream (ms)
3000,0,0.028,0.055,0.049,0.0,0.0,0.0
5000,0,0.060,0.061,0.056,0.0,0.0,0.0
50000,0,0.758,0.180,0.187,0.0,0.0,0.0
250000,0,14.080,2.640,2.654,0.0,0.0,0.0
3000,2,6.053,0.672,0.646,6.0,6.025,0.025
5000,2,10.128,1.074,1.038,10.0,10.068,0.068
50000,2,105.430,10.506,10.067,100.0,104.672,4.672
250000,2,537.430,50.474,53.140,500.0,523.350,23.350
